ListingKey	APN	BuildersName	City	State	StreetName	StreetNumber	TotalExpenses	YearBuilt	ListPrice	MLnumber	AccessibilityFeatures	Acres	AdNumber	Appliances	AppliancesYN	Area	Assessments	AssessmentsYN	Association	AssociationDues1	AssociationDues1Frequency	AssociationDues2	AssociationDues2Frequency	AssociationName1	AssociationYN	AttachedStructure	BuildersTractCode	BuildersTractName	Caprate	CDOM	CDOMResetYN	COLA_Board	COLA_FirstName	COLA_LastName	COLA_PublicID	COLA_StateLicenseNumber	COLO_Code	COLO_Name	CommonWalls	CommunityFeatures	ContactOrder1	ContactOrder2	ContactOrder3	ContactOrder4	ContactOrder5	ContactOrder6	Cooling	CoolingYN	COSA_FirstName	COSA_LastName	COSA_PublicID	COSA_StateLicenseNumber	COSO_Code	COSO_Name	Country	County	CrossStreets	DateClosedSale	DateCmaStatus	DateListingContract	DeletedYN	DirectionFaces	Directions	Disclosures	DocumentNumber	DOM	DoorFeatures	Elevation	EntryLevel	EntryLocation	ExteriorFeatures	FenceYN	Fencing	Fireplace	FireplaceYN	Floor	Foundation	GreenBuildingCertification	GreenCertificationRating	GreenCertifyingBody	GreenEnergyEfficient	GreenEnergyGeneration	GreenIndoorAirQuality	GreenLocation	GreenSustainability	GreenWalkScore	GreenWaterConservation	GreenYearCertified	GrossMultiplier	GrossOperatingIncome	GrossScheduledIncome	Heating	HeatingYN	InteriorFeatures	InternetSendAddressYN	InternetSendListingYN	LA_Board	LA_FirstName	LA_LastName	LA_Publicid	LA_StateLicenseNumber	LandFeeLease	LastChangeType	Laundry	LaundryYN	ListPriceExcludes	ListPriceIncludes	ListPriceLow	LO_Code	LO_Name	LotDimensions	LotFeatures	LotSquareFootage	MLSID	ModelName	MonthlyGrossIncome	NetOperatingIncome	NumberElectricMeters	NumberGarageSpaces	NumberGasMeters	NumberUncoveredSpaces	NumberUnits	NumberWaterMeters	OperatingExpense	OtherStructures	Parking	ParkingSpacesTotal	ParkingYN	Piccount	Pool	PoolYN	PostalCode	PostalCodePlus4	PreviousPrice	PreviousStatus	PricePerSqft	PricePerUnit	PropertyDescription	Roofing	Rooms	SA_FirstName	SA_LastName	SA_PublicID	SA_StateLicenseNumber	SaleType	SecurityExpense	SecurityFeatures	SellingPrice	SeniorYN	Sewer	SO_Code	SO_Name	SourceKey	SourceTimestampModified	Spa	SpaYN	SqFtSourceLot	SquareFootageBuilding	Status	Stories	StoriesTotal	StreetDirection	StreetDirectionSuffix	StreetNumberModifier	StreetSuffix	StreetSuffixModifier	StructuralCondition	Style	ThomasGuide	TimestampModified	TimestampOffMarket	TimestampPhotoModified	TimestampStatusChange	TractName	TractNumber	TractSubAreaCode	Type10ActualRent	Type10Baths	Type10Bedrooms	Type10Furnished	Type10GarageAttached	Type10GarageSpaces	Type10ProFormaRent	Type10TotalRent	Type10Units	Type11ActualRent	Type11Baths	Type11Bedrooms	Type11Furnished	Type11GarageAttached	Type11GarageSpaces	Type11ProFormaRent	Type11TotalRent	Type11Units	Type12ActualRent	Type12Baths	Type12Bedrooms	Type12Furnished	Type12GarageAttached	Type12GarageSpaces	Type12ProFormaRent	Type12TotalRent	Type12Units	Type13ActualRent	Type13Baths	Type13Bedrooms	Type13Furnished	Type13GarageAttached	Type13GarageSpaces	Type13ProFormaRent	Type13TotalRent	Type13Units	Type1ActualRent	Type1Baths	Type1Bedrooms	Type1Furnished	Type1GarageAttached	Type1GarageSpaces	Type1ProFormaRent	Type1TotalRent	Type1Units	Type2ActualRent	Type2Baths	Type2Bedrooms	Type2Furnished	Type2GarageAttached	Type2GarageSpaces	Type2ProFormaRent	Type2TotalRent	Type2Units	Type3ActualRent	Type3Baths	Type3Bedrooms	Type3Furnished	Type3GarageAttached	Type3GarageSpaces	Type3ProFormaRent	Type3TotalRent	Type3Units	Type4ActualRent	Type4Baths	Type4Bedrooms	Type4Furnished	Type4GarageAttached	Type4GarageSpaces	Type4ProFormaRent	Type4TotalRent	Type4Units	Type5ActualRent	Type5Baths	Type5Bedrooms	Type5Furnished	Type5GarageAttached	Type5GarageSpaces	Type5ProFormaRent	Type5TotalRent	Type5Units	Type6ActualRent	Type6Baths	Type6Bedrooms	Type6Furnished	Type6GarageAttached	Type6GarageSpaces	Type6ProFormaRent	Type6TotalRent	Type6Units	Type7ActualRent	Type7Baths	Type7Bedrooms	Type7Furnished	Type7GarageAttached	Type7GarageSpaces	Type7ProFormaRent	Type7TotalRent	Type7Units	Type8ActualRent	Type8Baths	Type8Bedrooms	Type8Furnished	Type8GarageAttached	Type8GarageSpaces	Type8ProFormaRent	Type8TotalRent	Type8Units	Type9ActualRent	Type9Baths	Type9Bedrooms	Type9Furnished	Type9GarageAttached	Type9GarageSpaces	Type9ProFormaRent	Type9TotalRent	Type9Units	Utilities	View	ViewYN	VirtualTour	WaterSource	WellDepth	WellGallonsPerMinute	WellPumpHorsepower	WellReportYN	WindowFeatures	YearBuiltSource	Zone
629801	0618253240000		29P	CA	Smoketree	6323	2427	1960	120000	DC12105851				RF	1	DC726														257											2	1	3			8	EV	1							US	SB	Joshua		2015-01-06 13:52:39	2012-08-23 00:00:00	0					257										PC															16140	WL	1		1	1	JT	DV	THOMPSON	DC50427	01123800	FEE	PRICECHG						DC5038	Triad, REALTORS				MR		1390	13713	2	1	2		2	1	2427		UAS	4	1	2			92277		90000	X			Recently redone 2 bedroom 1 bath apartments.  Close to town.  Tenant pays all utilities except water.  Both are currently rented							STD								59917585						A											2015-04-27 21:27:41	2014-01-24 11:32:58	2013-05-29 14:01:35	2015-01-06 13:52:39		3987																																						695	1.00	2	U		0			A	650	1.00	2	U		0			B	0				D	1			G																																																																	ASS	
651037			CRLN	CA	LAKE	24202	38335	1986	1595000	S710845	36W				0	286		0											11.49	712											19	7	1	2	8	9		0							US	SB	Hwy 18		2014-12-10 15:55:26	2012-09-05 00:00:00	0		Hwy 18 to Crestline offramp continue to tho north side of the Lake			712								DEC	1														7.22	0	225000		0		1	1	OC	JP	Blake	HBLAKJP	00479936	FEE	BOM		0				H34100	Star Real Estate				MR		0	186662					10		35335			12	0	1		0	92325		1625000	X	428.30		North Shore inn is a 10 unit building with a managers unit.One unit is pet friendly.Balconies overlook Lake Gregory and mountain of trees and homes.enjoy walking trails,boating,fishing,swiming and sandy beaches.Units have been remodeled ane are extremely comfortable with memory form bedding.Unit 9,10 will open to accomadate a larger family or conferance area or retreat or wedding party.Close to Ski resort,Lake arrowhead Village,Silverwood Lake.							STD				0				60102299			0		3724	A						DR				517A2	2014-12-10 15:55:26	2014-07-01 01:01:12		2014-12-10 15:55:26		2872	CUST																																					0	0.00	0							0	0.00	0							0	0.00	0							0	0.00	0							0	0.00	0																																													0									
1231800	7250001036		LONG	CA	XIMENO	500	308390	1965	17950000	P844287	ELV	0.908				2													0.00	3659											2	2	1	2	8	9									US	LA	7th/ximeno		2013-06-14 00:00:00	2012-12-26 00:00:00	0		south of 7th street on Ximeno			811				GS							CC												15.36	1115500	1150000				1	1	PW	Ed	Soule	ZSOULED	00669188	FEE	PRICECHG						0020	Ed Soule, Broker			39535	MR		91667	818000	76		1		74	1	309000		AS	102	1	23	COM	1	90814	1723	17500000	P	295.95		74 units in prime area near beach and Belmont Shore. One building with large interior courtyard, pool, exercise room, rec room, 102 secured semi-subterranean parking spaces with storage for each.   Separate electric meters and water heaters for each unit! laundry room with 9 washers and 4 commercial dryers. Approved by city of Long Beach for condo conversion.							STD		CL		0				62825721				A	60652	A	C					AV			CNT	796A7	2014-11-20 17:23:41	2013-05-02 11:27:19	2014-11-20 17:23:41	2013-06-14 17:13:09		23303	BH																																					1875	1.75	3	U	A	2	11250	9375	5	1550	2.00	2	U	A	2	10000	9550	6	1450	1.00	2	U	A	2	36000	34800	24	1150	1.00	1	U	A	1	40000	37950	33	850	1.00	0	U	A	1	6500	5100	6																																						BK	1		DIST						ASS	
1241890	052121046000		PARA	CA	Skyway	6457	0	1953	175000	PA12154166		0.220														A				853									1CW,NOA,NOB	SDW	1	9	4	10											US	BUT	ELLIOTT		2012-12-27 00:00:00	2012-12-27 00:00:00	0					853																									0				1	1	PA	Lee Ann	Brady	PABRADY	01482423		NEWLIST						PAPMRE	Paradise Mtn Real Estate		D1	9583	MR		0	0	3	0	2	6	4	2	3333			6		3	NO	0	95969	4538			66.14		LIVE ON PROPERTY AND HAVE RENTAL INCOME. TWO SEPARATE BUILDINGS. PROPERTY CONSISTS OF AN OFFICE AT 6457 SKYWAY, AND 690 ELLIOTT WHICH IS A TWO BEDROOM, ONE BATH HOME.   THE LOWER LEVEL 688-A & 688-B ELLIOTT WHICH IS OFFICE, BUSINESS, STORAGE OR SHOP SPACE WITH TWO HALF BATHS.							STD					HLD,SEPT			62690503				A	2646	A	B										2015-04-24 11:36:55		2012-12-27 10:15:49	2012-12-27 10:13:48																																								0	0.50	0	U		0	0	375	1	0	1.00	2	U		0	0	875	1	0	0.50	0	U		0	0	150	1	0	0.50	0	U		0	0	150	1																																																		DIST						ASS	
1588181	02315407		HB	CA	15th	411	36400	1973	2500000	OC13067604		0.130				15									0	A	Downtown Area (DOWN)	Downtown Area (DOWN)		744									2CW	CW	2	1	3	8											US	OR	PALM		2013-04-15 00:00:00	2013-04-15 00:00:00	0					744																									0				1	1	OC	Clement	Lombardi	HLOMBACL	00302884		PRICECHG	IR	1				H06000	Lombardi Realty		D1	5663	MR		3200	3200	5	6	5	4	4	2	0		UAS	10	1	1	NO	0	92648	4260	1995000		643.50									STD					SPD			66941212				A	3885	A	B	2				ST					2015-02-11 09:21:39		2013-04-20 11:32:38	2013-04-16 10:10:31		359																																						0	2.50	3	U	A	3	2500	0	1	1200	1.00	1	U	A	1	1200	14400	1	900	1.00	2	U	A	1	1800	8400	1	1100	1.00	2	U	A	1	1800	13200	1																																																		DIST						ASS	
1590852	845073008		BLY	CA	Stewart	350	2066	1989	129000	OC13068259	32W,NIS,PK	0.190		RF	1	374	SP	1		0		0		0	0	A	Other (OTHR)			755									1CW	CRB	2	1	5	3	6	8	HP	1							US	RI	Third		2013-04-04 00:00:00	2013-04-04 00:00:00	0	E	3rd St. North to Stewart			755				GL						VT	CC													18000	18000	CF	1	SIT	1	1	OC	Silas	Mariano	SMARISIL	01461410		PRICECHG	ELC	1	personal property of tenants and as indicated on lease agreements.	Refrigerators/Stoves		H05824	Empress Group, Inc.		D1	8276	MR		18000	1534	2	0	0		2	0	2066		AS	2	1	3	NO	0	92225	1600	175000		69.81		Duplex in central Blythe.  Two 3 bdr/2 bth. Both units occupied.   2 blocks from school, near churches, school, hospital, grocery store, library.  Near Colorado River.  Both units fully occupied property in North central area of Blythe.    Desert living near the Colorado River, Community College and Municipal Golf Course.   Tenants 1.5 and 5 years.  CAP Rate on property at list price is 7.5.  Owners in San Diego area and want to divest of all properties.   Units are gas and electric  Owner paying w/s/t.  ACs less than 6 months old  3 miles drive to river.   carports.		BDDN					STD				0	SPD			66958668				A	1848	A	A	1			352	ST				5491-E6	2014-10-31 09:31:12		2013-04-16 19:36:02	2013-04-16 19:11:14		00000																																						700	2.00	3	U		0	8400	8400	1	800	2.00	3	U		0	9600	9600	1																																																																ELAV				DIST					BLI	APP	
1593335	050045270		CLEL	CA	valley	14840	3485	1959	229000	LC13068905		0.138		HOD,RF	1	LCCLN	UNK	1							0	A				742									1CW	URB	2	1	4	3			WW,EV	1							US	LAK	carol		2013-04-17 00:00:00	2013-04-17 00:00:00	0	W	old hwy 53 to lansing to valley			742				GS,GL			CH,WD	ELC,Propane	1		PER														20400	SEE	1		1	1	LC	Thomas	Delfino	LCtdelfino	00951221	FEE	PRICECHG	SEE	1				LCRAH	Richard A. Hearn, Broker		SPKN,TRE,UPS	6009	MR		1700	16915	3	1	3		3	3	3485		UAS	3	1	16	NO	0	95422		239000		130.56		Investment property, three clean units recently remodeled, all are currently rented . Separate P.G.& E. meters. 5 minutes away to shopping malls, Post Office and Clearlake. need to check this one out.  Two bedroom unit has electric propane heat along with swamp cooler, studio has electric heat & one bedroom has wall-mount heat & air combo. parking areas are along side units and one car parking in basement area. Area designed for washer/dry location. Shown by appointment only as not to disturb Tenants, Drive-bys O.K. Contact listing agent	ASP						STD				0	SC			66975464		NO	0	A	1754	A	B	2				AV		REM	SEE		2015-01-28 10:38:40		2013-04-17 15:33:59	2013-04-17 15:22:41																																								650	1.00	2	U		0	650	650	1	550	1.00	1	U		0	550	550	1	500	1.00	0	U	A	1	650	500	1																																																							220K	SEE	1		DIST						ASS	
1599050	031162003000		MERC	CA	Main	140	0	1952	130000	MC13015730		0.086					UNK	1							0	A				802									2CW	CRB	2	1	4	3	8		WW	1							US	MER	G STREET		2013-08-21 00:00:00	2013-02-04 00:00:00	0					802																									1600	WL	1		1	1	MC	Monica	Franks	MCFRANMO	01269788	FEE	PRICECHG	NO	0				MC629	Century 21 MM And Assoc. - Mer		D1	3751	MR		1600	1600	4	0	4	4	4	1	268		UAS	4	1	25	NO	0	95340	4931	100000	P	65.36		Great location in Commercial Zone on Main Street.  Next to Big Foot Carpet.  Rent now...build a Business in the future?  Currently 3 units rent for $400 each, studio rented for $300/month.  4 car parking in front and large 4 car garage, currently rented for $300 (-$70 for manager discount) for parking, storage, or business???  Great potential to buy now, let the rents pay for it, and start a nice business on Main Street later.							STD					SIS			65650098				A	1989	A	B		W			ST					2015-04-27 17:31:25	2013-08-09 11:00:43	2013-03-11 00:15:40	2013-08-21 11:06:14																																								400	1.00	1	U		0	800	800	2	400	1.00	2	U		0	400	400	1	300	1.00	0	U		0	300	300	1	300	0.00	0	U		0	300	300	1																																																		DIST						ASS	
1636333	5350023005		ALH	CA	Shorb	1220	9185	1949	558000	WS13074903		0.111				601										A				734									2CW	SDW	20	5	4	10	6	8									US	LA	W. Curtis Ln		2013-04-25 00:00:00	2013-04-25 00:00:00	0					734																									36240				1	1	WS	STEVE	HANG	W70821	01260352		NEWLIST					499000	7805	COLDWELL BANKER DYNASTY/ARC		D0	4814	MR		3020	27055	2	0	2		3	1	9185			2		1	NO	0	91803	2136			422.41		Location Location Location!!! short distance to Valley and Atlantic Blvd. Currently use as 3 income unit( county record showing duplex of 2 beds room and 2 baths). Seller motivate and will entertain any fair market value.							STD					UNK			67186790				A	1321	A			W			ST					2014-12-23 08:14:36		2013-04-25 11:31:21	2013-04-25 11:29:13		4809																																						1100	1.00	2	U		0	2200	2200	2	820	1.00	1	U		0	820	820	1																																																																				DIST						ASS	
1643594	537100023		BANN	CA	Ramsey	4240	19732	1975	410000	EV13023448		0.648				263										D				804									NCW	SL	2	1	5	3	6	8									US	RI	West of Sunset		2013-02-14 00:00:00	2013-02-14 00:00:00	0					804																									4750				1	1	EV	FAITH	KOBY	EKOBYFAI	00429339		PRICECHG						E1605	KOBY FINANCIAL SERVICES		D0	28238	MR		4750	4550	3	2	1		3	1	200			16		4	NO	0	92220	3522	545000		113.89		This building is located with freeway visibility and in the center of the commercial center.  It has not been used for some and is an investor's delight. It has charm and ambience that is unequaled.  Seller might carry for a short term.  This would be a good flip.  It consists of an office building of about 1100 square feet, a small house ready for rehab (no interior walls) but plumbing in place for bathroom and kitchen, plus it also has a small storage building.  The outside has a lovely patio area that needs to be cultivated and rehabbed.  The property has good parking.  Remember, the owner will probably carry with a good down.							STD					SC			65839079				A	3600	A			W			ST					2014-06-10 11:01:51		2014-01-30 15:24:47	2013-02-14 16:11:01		0011																																						0	2.00	0	U	D	2	0	0	1	0	1.00	3	U		0	0	0	2																																																																				DIST						SLR	
